2018-08-09 12:10:06,045 [INFO   ] local-test13 >> Starting kill query Thread: local-test13
2018-08-09 12:10:06,054 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:07,657 [INFO   ] local-test13 >> you've changed run_max_count, set a clean start
2018-08-09 12:10:07,658 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:07,795 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:09,947 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:09,954 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:10,037 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:12,039 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:12,041 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:12,066 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:14,254 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:14,317 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:14,441 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:16,739 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:16,746 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:16,875 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:18,941 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:18,955 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:19,071 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:21,073 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:10:21,078 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:21,120 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:23,126 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:23,129 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:23,152 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:25,159 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:25,165 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:25,204 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:27,211 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:27,221 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:27,265 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:29,352 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:29,355 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:29,410 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:31,457 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:31,477 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:31,557 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:33,559 [INFO   ] local-test13 >> (gaotuan) MySQL try ping to keep session alive
2018-08-09 12:10:33,567 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:33,600 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:35,604 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:35,608 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:35,642 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:37,661 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:37,671 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
2018-08-09 12:10:37,778 [DEBUG  ] local-test13 >> no threads need to be kill
2018-08-09 12:10:39,791 [DEBUG  ] local-test13 >> no section id_local-test13 found in mysqk.ini, use comm section
2018-08-09 12:10:39,807 [DEBUG  ] local-test13 >> get the information_schema.processlist on this moment: D:\deploy\test3\mykill\processlist_local-test13.txt
